Iter L2_norm L2_norm_weighted Drag Lift
262 -1.0000e+00 -5.7036e-06 0.000000 0.000000
263 -1.0000e+00 -5.7036e-06 0.000000 0.000000
264 -1.0000e+00 -5.7036e-06 0.000000 0.000000
265 -1.0000e+00 -5.7036e-06 0.000000 0.000000
266 -1.0000e+00 -5.7036e-06 0.000000 0.000000
267 -1.0000e+00 -5.7036e-06 0.000000 0.000000
268 -1.0000e+00 -5.7036e-06 0.000000 0.000000
269 -1.0000e+00 -5.7036e-06 0.000000 0.000000
270 -1.0000e+00 -5.7036e-06 0.000000 0.000000
271 -1.0000e+00 -5.7036e-06 0.000000 0.000000
272 -1.0000e+00 -5.7036e-06 0.000000 0.000000
273 -1.0000e+00 -5.7036e-06 0.000000 0.000000
274 -1.0000e+00 -5.7036e-06 0.000000 0.000000
275 -1.0000e+00 -5.7036e-06 0.000000 0.000000
276 -1.0000e+00 -5.7036e-06 0.000000 0.000000
277 -1.0000e+00 -5.7036e-06 0.000000 0.000000
278 -1.0000e+00 -5.7036e-06 0.000000 0.000000
279 -1.0000e+00 -5.7036e-06 0.000000 0.000000
280 -1.0000e+00 -5.7036e-06 0.000000 0.000000
281 -1.0000e+00 -5.7036e-06 0.000000 0.000000
282 -1.0000e+00 -5.7036e-06 0.000000 0.000000
283 -1.0000e+00 -5.7036e-06 0.000000 0.000000
284 -1.0000e+00 -5.7036e-06 0.000000 0.000000
285 -1.0000e+00 -5.7036e-06 0.000000 0.000000
286 -1.0000e+00 -5.7036e-06 0.000000 0.000000
287 -1.0000e+00 -5.7036e-06 0.000000 0.000000
288 -1.0000e+00 -5.7036e-06 0.000000 0.000000
289 -1.0000e+00 -5.7036e-06 0.000000 0.000000
290 -1.0000e+00 -5.7036e-06 0.000000 0.000000
291 -1.0000e+00 -5.7036e-06 0.000000 0.000000
292 -1.0000e+00 -5.7036e-06 0.000000 0.000000
293 -1.0000e+00 -5.7036e-06 0.000000 0.000000
294 -1.0000e+00 -5.7036e-06 0.000000 0.000000
295 -1.0000e+00 -5.7036e-06 0.000000 0.000000
296 -1.0000e+00 -5.7036e-06 0.000000 0.000000
297 -1.0000e+00 -5.7036e-06 0.000000 0.000000
298 -1.0000e+00 -5.7036e-06 0.000000 0.000000
299 -1.0000e+00 -5.7036e-06 0.000000 0.000000
300 -1.0000e+00 -5.7036e-06 0.000000 0.000000
301 -1.0000e+00 -5.7036e-06 0.000000 0.000000
302 -1.0000e+00 -5.7036e-06 0.000000 0.000000
303 -1.0000e+00 -5.7036e-06 0.000000 0.000000
304 -1.0000e+00 -5.7036e-06 0.000000 0.000000
305 -1.0000e+00 -5.7036e-06 0.000000 0.000000
306 -1.0000e+00 -5.7036e-06 0.000000 0.000000
307 -1.0000e+00 -5.7036e-06 0.000000 0.000000
308 -1.0000e+00 -5.7036e-06 0.000000 0.000000
309 -1.0000e+00 -5.7036e-06 0.000000 0.000000
310 -1.0000e+00 -5.7036e-06 0.000000 0.000000
311 -1.0000e+00 -5.7036e-06 0.000000 0.000000
312 -1.0000e+00 -5.7036e-06 0.000000 0.000000
313 -1.0000e+00 -5.7036e-06 0.000000 0.000000
314 -1.0000e+00 -5.7036e-06 0.000000 0.000000
315 -1.0000e+00 -5.7036e-06 0.000000 0.000000
316 -1.0000e+00 -5.7036e-06 0.000000 0.000000
317 -1.0000e+00 -5.7036e-06 0.000000 0.000000
318 -1.0000e+00 -5.7036e-06 0.000000 0.000000
319 -1.0000e+00 -5.7036e-06 0.000000 0.000000
320 -1.0000e+00 -5.7036e-06 0.000000 0.000000
321 -1.0000e+00 -5.7036e-06 0.000000 0.000000
322 -1.0000e+00 -5.7036e-06 0.000000 0.000000
323 -1.0000e+00 -5.7036e-06 0.000000 0.000000
324 -1.0000e+00 -5.7036e-06 0.000000 0.000000
325 -1.0000e+00 -5.7036e-06 0.000000 0.000000
326 -1.0000e+00 -5.7036e-06 0.000000 0.000000
327 -1.0000e+00 -5.7036e-06 0.000000 0.000000
328 -1.0000e+00 -5.7036e-06 220477.218750 220477.218750
329 -1.0000e+00 -5.7036e-06 0.000000 0.000000
330 -1.0000e+00 -5.7036e-06 0.000000 0.000000
331 -1.0000e+00 -5.7036e-06 0.000000 0.000000
332 -1.0000e+00 -5.7036e-06 0.000000 0.000000
333 -1.0000e+00 -5.7036e-06 0.000000 0.000000
334 -1.0000e+00 -5.7036e-06 0.000000 0.000000
335 -1.0000e+00 -5.7036e-06 0.000000 0.000000
336 -1.0000e+00 -5.7036e-06 0.000000 0.000000
337 -1.0000e+00 -5.7036e-06 0.000000 0.000000
338 -1.0000e+00 -5.7036e-06 0.000000 0.000000
339 -1.0000e+00 -5.7036e-06 0.000000 0.000000
340 -1.0000e+00 -5.7036e-06 0.000000 0.000000
341 -1.0000e+00 -5.7036e-06 0.000000 0.000000
342 -1.0000e+00 -5.7036e-06 0.000000 0.000000
343 -1.0000e+00 -5.7036e-06 0.000000 0.000000
344 -1.0000e+00 -5.7036e-06 0.000000 0.000000
345 -1.0000e+00 -5.7036e-06 0.000000 0.000000
346 -1.0000e+00 -5.7036e-06 0.000000 0.000000
347 -1.0000e+00 -5.7036e-06 0.000000 0.000000
348 -1.0000e+00 -5.7036e-06 0.000000 0.000000
349 -1.0000e+00 -5.7036e-06 0.000000 0.000000
350 -1.0000e+00 -5.7036e-06 0.000000 0.000000
351 -1.0000e+00 -5.7036e-06 0.000000 0.000000
352 -1.0000e+00 -5.7036e-06 0.000000 0.000000
353 -1.0000e+00 -5.7036e-06 0.000000 0.000000
354 -1.0000e+00 -5.7036e-06 0.000000 0.000000
355 -1.0000e+00 -5.7036e-06 0.000000 0.000000
356 -1.0000e+00 -5.7036e-06 0.000000 0.000000
357 -1.0000e+00 -5.7036e-06 0.000000 0.000000
358 -1.0000e+00 -5.7036e-06 0.000000 0.000000
359 -1.0000e+00 -5.7036e-06 0.000000 0.000000
360 -1.0000e+00 -5.7036e-06 0.000000 0.000000
361 -1.0000e+00 -5.7036e-06 0.000000 0.000000
362 -1.0000e+00 -5.7036e-06 0.000000 0.000000
363 -1.0000e+00 -5.7036e-06 0.000000 0.000000
364 -1.0000e+00 -5.7036e-06 0.000000 0.000000
365 -1.0000e+00 -5.7036e-06 0.000000 0.000000
366 -1.0000e+00 -5.7036e-06 0.000000 0.000000
367 -1.0000e+00 -5.7036e-06 0.000000 0.000000
368 -1.0000e+00 -5.7036e-06 0.000000 0.000000
369 -1.0000e+00 -5.7036e-06 0.000000 0.000000
370 -1.0000e+00 -5.7036e-06 0.000000 0.000000
371 -1.0000e+00 -5.7036e-06 0.000000 0.000000
372 -1.0000e+00 -5.7036e-06 0.000000 0.000000
373 -1.0000e+00 -5.7036e-06 0.000000 0.000000
374 -1.0000e+00 -5.7036e-06 0.000000 0.000000
375 -1.0000e+00 -5.7036e-06 0.000000 0.000000
376 -1.0000e+00 -5.7036e-06 0.000000 0.000000
377 -1.0000e+00 -5.7036e-06 0.000000 0.000000
378 -1.0000e+00 -5.7036e-06 0.000000 0.000000
379 -1.0000e+00 -5.7036e-06 0.000000 0.000000
380 -1.0000e+00 -5.7036e-06 0.000000 0.000000
381 -1.0000e+00 -5.7036e-06 0.000000 0.000000
382 -1.0000e+00 -5.7036e-06 0.000000 0.000000
383 -1.0000e+00 -5.7036e-06 0.000000 0.000000
384 -1.0000e+00 -5.7036e-06 0.000000 0.000000
385 -1.0000e+00 -5.7036e-06 0.000000 0.000000
386 -1.0000e+00 -5.7036e-06 0.000000 0.000000
387 -1.0000e+00 -5.7036e-06 0.000000 0.000000
388 -1.0000e+00 -5.7036e-06 0.000000 0.000000
389 -1.0000e+00 -5.7036e-06 0.000000 0.000000
390 -1.0000e+00 -5.7036e-06 0.000000 0.000000
391 -1.0000e+00 -5.7036e-06 0.000000 0.000000
392 -1.0000e+00 -5.7036e-06 0.000000 0.000000
393 -1.0000e+00 -5.7036e-06 0.000000 0.000000
394 -1.0000e+00 -5.7036e-06 0.000000 0.000000
395 -1.0000e+00 -5.7036e-06 0.000000 0.000000
396 -1.0000e+00 -5.7036e-06 0.000000 0.000000
397 -1.0000e+00 -5.7036e-06 0.000000 0.000000
398 -1.0000e+00 -5.7036e-06 0.000000 0.000000
399 -1.0000e+00 -5.7036e-06 0.000000 0.000000
400 -1.0000e+00 -5.7036e-06 0.000000 0.000000
401 -1.0000e+00 -5.7036e-06 0.000000 0.000000
402 -1.0000e+00 -5.7036e-06 0.000000 0.000000
403 -1.0000e+00 -5.7036e-06 0.000000 0.000000
404 -1.0000e+00 -5.7036e-06 0.000000 0.000000
405 -1.0000e+00 -5.7036e-06 0.000000 0.000000
406 -1.0000e+00 -5.7036e-06 0.000000 0.000000
407 -1.0000e+00 -5.7036e-06 0.000000 0.000000
408 -1.0000e+00 -5.7036e-06 0.000000 0.000000
409 -1.0000e+00 -5.7036e-06 0.000000 0.000000
410 -1.0000e+00 -5.7036e-06 0.000000 0.000000
411 -1.0000e+00 -5.7036e-06 0.000000 0.000000
412 -1.0000e+00 -5.7036e-06 0.000000 0.000000
413 -1.0000e+00 -5.7036e-06 0.000000 0.000000
414 -1.0000e+00 -5.7036e-06 0.000000 0.000000
415 -1.0000e+00 -5.7036e-06 0.000000 0.000000
416 -1.0000e+00 -5.7036e-06 0.000000 0.000000
417 -1.0000e+00 -5.7036e-06 0.000000 0.000000
418 -1.0000e+00 -5.7036e-06 0.000000 0.000000
419 -1.0000e+00 -5.7036e-06 0.000000 0.000000
420 -1.0000e+00 -5.7036e-06 0.000000 0.000000
421 -1.0000e+00 -5.7036e-06 0.000000 0.000000
422 -1.0000e+00 -5.7036e-06 0.000000 0.000000
423 -1.0000e+00 -5.7036e-06 0.000000 0.000000
424 -1.0000e+00 -5.7036e-06 0.000000 0.000000
425 -1.0000e+00 -5.7036e-06 0.000000 0.000000
426 -1.0000e+00 -5.7036e-06 0.000000 0.000000
427 -1.0000e+00 -5.7036e-06 0.000000 0.000000
428 -1.0000e+00 -5.7036e-06 0.000000 0.000000
429 -1.0000e+00 -5.7036e-06 0.000000 0.000000
430 -1.0000e+00 -5.7036e-06 0.000000 0.000000
431 -1.0000e+00 -5.7036e-06 0.000000 0.000000
432 -1.0000e+00 -5.7036e-06 0.000000 0.000000
433 -1.0000e+00 -5.7036e-06 0.000000 0.000000
434 -1.0000e+00 -5.7036e-06 0.000000 0.000000
435 -1.0000e+00 -5.7036e-06 0.000000 0.000000
436 -1.0000e+00 -5.7036e-06 0.000000 0.000000
437 -1.0000e+00 -5.7036e-06 0.000000 0.000000
438 -1.0000e+00 -5.7036e-06 0.000000 0.000000
439 -1.0000e+00 -5.7036e-06 0.000000 0.000000
440 -1.0000e+00 -5.7036e-06 0.000000 0.000000
441 -1.0000e+00 -5.7036e-06 0.000000 0.000000
442 -1.0000e+00 -5.7036e-06 0.000000 0.000000
443 -1.0000e+00 -5.7036e-06 0.000000 0.000000
444 -1.0000e+00 -5.7036e-06 0.000000 0.000000
445 -1.0000e+00 -5.7036e-06 0.000000 0.000000
446 -1.0000e+00 -5.7036e-06 0.000000 0.000000
447 -1.0000e+00 -5.7036e-06 0.000000 0.000000
448 -1.0000e+00 -5.7036e-06 0.000000 0.000000
449 -1.0000e+00 -5.7036e-06 0.000000 0.000000
